generic id,generic name,slug,monograph link,drug class,indication,indication description,dosage description,side effects description,overdose effects description,storage conditions description,reconstitution description
914,Precipitated Sulpher + Salicylic Acid,precipitated-sulpher-salicylic-acid-914,not available,Other scalp preparations,Warts,salicylic acid and sulfur combination is used to treat acne and other skin disorders and dandruff and other scalp disorders such as seborrheic dermatitis,"the dose of salicylic acid and sulfur will be different for different patients follow your doctors orders or the directions on the label the following information includes only the average doses of salicylic acid and sulfur if your dose is different do not change it unless your doctor tells you to do sothe amount of medicine that you take depends on the strength of the medicine also the number of doses you take each day the time allowed between doses and the length of time you take the medicine depend on the medical problem for which you are using the medicine
for acne or oily skin
bar dosage form

adults and children use on the affected skin two or three times a day

cleansing lotion dosage form

adults and children use on wet skin one to three times a day rub lather into skin for one minute then rinse

for dandruff and seborrheic dermatitis of the scalp
bar and shampoo dosage forms

adults and children use on the scalp once a day at least two times a week or as directed by doctor may be used each day if needed
","along with its needed effects a medicine may cause some unwanted effects although not all of these side effects may occur if they do occur they may need medical attentioncheck with your doctor as soon as possible if any of the following side effects occur skin irritation not present before use of salicylic acid and sulfursome side effects may occur that usually do not need medical attention these side effects may go away during treatment as your body adjusts to the medicine also your health care professional may be able to tell you about ways to prevent or reduce some of these side effects check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them

redness and peeling of skin may occur after a few days
unusual dryness of skin
",not available,store the medicine in a closed container at room temperature away from heat moisture and direct light keep from freezing keep out of the reach of children do not keep outdated medicine or medicine no longer needed,['wart salicylic acid sulfur combination used treat acne skin disorder dandruff scalp disorder seborrheic dermatitis']
913,Prazosin Hydrochloride,prazosin-hydrochloride-913,https://medex.com.bd/attachments/K7BLoQ50yXogMcKbwVEnFC7jFVyIt5/prazosin-hydrochloride-prescribing-information,Alpha adrenoceptor blocking drugs,Hypertension,hypertension primary and secondary hypertension raynauds phenomenon and raynauds disease congestive heart failure prazosin may be used alone or added to the therapeutic regimen in those patients with congestive heart failure who are resistant or refractory to conventional therapy with diuretics  read morehypertension primary and secondary hypertension raynauds phenomenon and raynauds disease congestive heart failure prazosin may be used alone or added to the therapeutic regimen in those patients with congestive heart failure who are resistant or refractory to conventional therapy with diuretics andor cardiac glycosides  benign prostatic hyperplasia for the symptomatic treatment of urinary obstruction due to bph and in patients awaiting prostatic surgery,"hypertension

recommended starting dose 05 mg in the evening twice or thrice daily for 3 to 7 days this dose should be increased to 1 mg twice or three times daily for a further 3 to 7 days thereafter the daily dose should be increased gradually as determined by the patients response to the blood pressure lowering effect most patients are likely to be maintained on a dosage regimen of prazosin alone of up to 15 mg daily in divided doses
maximum dose 20 mg in divided doses

patients receiving other antihypertensive therapy but with inadequate control 

the dosage of the other drug should be reduced to a maintenance level and prazosin initiated at 05 mg in the evening then continuing with 05 mg twice or three times daily
subsequent dosage increases should be made gradually depending upon the patients response

congestive heart failure 

the recommended starting dose 05 mg two three or four times daily increasing to 4 mg in divided doses dosage should be adjusted according to the patients response based on careful monitoring of cardiopulmonary signs and symptoms
usual daily maintenance dosage 4 mg to 20 mg in divided doses

raynauds disease 

the recommended starting dosage 05 mg twice daily given for a period of 3 to 7 days and should be adjusted according to the patients clinical response
usual maintenance dosage 1 mg or 2 mg twice daily

benign prostatic hyperplasia 

the recommended dosage 05 mg twice daily for a period of 3 to 7 days with the initial dose administered in the evening the dosage should then be adjusted according to clinical response
the usual maintenance dosage 2 mg twice daily
",the most common side effects of prazosin are allergic reaction depression nervousness insomnia hallucinations dizziness drowsiness headache faintness syncope paraesthesia worsening of preexisting narcolepsy blurred vision eye pain reddened sclera vertigo tinnitus palpitations etc,not available,keep away from light and moisture store below 30c keep away from reach out of the children,['hypertension hypertension primary secondary hypertension raynauds phenomenon raynauds disease congestive heart failure prazosin may used alone added therapeutic regimen patient congestive heart failure resistant refractory conventional therapy diuretic read morehypertension primary secondary hypertension raynauds phenomenon raynauds disease congestive heart failure prazosin may used alone added therapeutic regimen patient congestive heart failure resistant refractory conventional therapy diuretic andor cardiac glycoside benign prostatic hyperplasia symptomatic treatment urinary obstruction due bph patient awaiting prostatic surgery']
912,Prasugrel Hydrochloride,prasugrel-hydrochloride-912,https://medex.com.bd/attachments/XEiurhYL3B89pTreEo1w03OVLiKDqP/prasugrel-hydrochloride-prescribing-information,Anti-platelet drugs,Unstable angina,"prasugrel is indicated to reduce the rate of thrombotic cardiovascular cv events including stent thrombosis in patients with acute coronary syndrome acs who are to be managed with percutaneous coronary intervention pci as follows 

patients with unstable angina ua or nonstelevation myocardial infarction nstemi  read moreprasugrel is indicated to reduce the rate of thrombotic cardiovascular cv events including stent thrombosis in patients with acute coronary syndrome acs who are to be managed with percutaneous coronary intervention pci as follows 

patients with unstable angina ua or nonstelevation myocardial infarction nstemi
patients with stelevation myocardial infarction stemi when managed with primary or delayed pci
",treatment should be initiated with a single 60 mg oral loading dose continue at 10 mg once daily with or without food consider 5 mg once daily for patients 60 kg patients should also take aspirin 75 mg to 325 mg daily,"
bleeding
thrombotic thrombocytopenic purpura
other side effects headache back pain dyspnea nausea hypertension bradycardia rash etc
",in rats lethality was observed after administration of 2000 mgkg platelet transfusion may restore clotting ability the prasugrel active metabolite is not likely to be removed by dialysis,keep in dry place and away from light and heat keep out of the reach of children,['unstable angina prasugrel indicated reduce rate thrombotic cardiovascular cv event including stent thrombosis patient acute coronary syndrome ac managed percutaneous coronary intervention pci follows patient unstable angina ua nonstelevation myocardial infarction nstemi read moreprasugrel indicated reduce rate thrombotic cardiovascular cv event including stent thrombosis patient acute coronary syndrome ac managed percutaneous coronary intervention pci follows patient unstable angina ua nonstelevation myocardial infarction nstemi patient stelevation myocardial infarction stemi managed primary delayed pci']
1506,Pramoxine Hydrochloride + Calamine,pramoxine-hydrochloride-calamine-1506,https://medex.com.bd/attachments/pD0A2KX8mTEFH5a98SoqqDaMyDpW5Z/pramoxine-hydrochloride-calamine-prescribing-information,Topical Analgesics,Sunburn,for temporary relief of pain and itching associated with minor burns sunburns minor cuts scrapes insect bites minor skin irritations and rashes,adults and children 2 years of age and older apply to affected area not more than 3 to 4 times dailychildren under 2 years of age consult with a doctor,local skin reaction eg anaphylactoid burning stinging contact dermatitis tenderness urticaria skin peeling and skin lesions,not available,this cream should be stored at room temperature of 20c  25c keep out of the reach of children,['sunburn temporary relief pain itching associated minor burn sunburn minor cut scrape insect bite minor skin irritation rash']
911,Pramipexole,pramipexole-911,https://medex.com.bd/attachments/6Gnf6akV7UW2pG0nkLw19AC5JM3n9J/pramipexole-prescribing-information,Antiparkinson drugs,Parkinson’s disease,"pramipexole is indicated for the treatment of

parkinsons disease used alone or as an adjunct to levodopa with dopadecarboxylase inhibitor
moderate to severe restless legs syndrome
","the recommended dose of pramipexole is as followsparkinsons disease 

initial dose 88 micrograms 3 times daily dose doubled every 57 days if tolerated to 350 micrograms 3 times daily further increased if necessary by 180 micrograms 3 times daily at weekly intervals
maximum dose 33 mg daily in 3 divided doses during pramipexole dose titration and maintenance levodopa dose should be reduced

restless legs syndrome 

initial dose 88 micrograms once daily 23 hours before bedtime dose doubled every 47 days if necessary to 350 micrograms daily
maximum dose 540 micrograms daily

use in children pramipexole is not recommended for children below 18 years of age",the common side effects are dizziness dyskinesia nausea hypotension abnormal dreams confusion constipation delusion hallucinations headache hyperkinesia increased eating binge eating hyperphagia insomnia libido disorders nausea peripheral oedema paranoia pathological gambling hypersexuality and other abnormal behaviour somnolence weight increase sudden onset of sleep pruritus and rash and other hypersensitivity,there is no clinical experience with massive overdose symptoms of overdose are nausea vomiting hyperkinesia hallucinations agitation and hypotension there is no established antidote if signs of central nervous system stimulation are present a neuroleptic agent may be indicated management of the overdose may require general supportive measures along with gastric lavage intravenous fluids administration of activated charcoal and electrocardiogram monitoring,store in a cool and dry place protect from light,['parkinson disease pramipexole indicated treatment parkinson disease used alone adjunct levodopa dopadecarboxylase inhibitor moderate severe restless leg syndrome']
910,Pralidoxime Chloride,pralidoxime-chloride-910,https://medex.com.bd/attachments/CuedFC16VSJRaAxzOG81aNL2LJeiRL/pralidoxime-chloride-prescribing-information,Antidote preparations,Organophosphorous poisoning,"pralidoxime chloride is indicated as an antidote

in the treatment of poisoning due to those pesticides and chemicals eg nerve agents of the organophosphate class which have anticholinesterase activity and
in the control of overdosage by anticholinesterase drugs used in the treatment of myasthenia gravis  read morepralidoxime chloride is indicated as an antidote

in the treatment of poisoning due to those pesticides and chemicals eg nerve agents of the organophosphate class which have anticholinesterase activity and
in the control of overdosage by anticholinesterase drugs used in the treatment of myasthenia gravis

the principal indications for the use of pralidoxime chloride are muscle weakness and respiratory depression in severe poisoning respiratory depression may be due to muscle weakness","intramuscular
organophosphorus poisoning

adult mild 600 mg repeat 12 times at 15 min intervals as needed severe 18 g given as 3 inj of 600 mg in rapid succession persistent may repeat the entire series 18 g beginning 1 hr after admin of the last inj
child 40 kg mild 15 mgkg repeat as needed every 15 min max 45 mgkg severe 15 mgkg repeat twice in rapid succession to a total dose of 45 mgkg persistent may repeat the entire series 45 mgkg beginning 1 hr after admin of the last inj 40 kg same as adult dose


intravenous
organophosphorus poisoning

adult in combination with atropine loading dose 12 g by infusion over 1530 min or slow inj over at least 5 min may repeat dose after 1 hr then 1012 hrly as needed administer as soon as the effects of atropine are observed maintain atropinisation for at least 48 hr
child 16 yr loading dose 2050 mgkg max 2 gdose by inj over 1530 min followed by 1020 mgkghr as continuous infusion alternatively a repeat bolus of 2050 mgkg after 1 hr and repeated 1012 hrly as needed 16 yr same as adult dose

poisoning or overdosage with compounds having muscarinic actions

adult initially 12 g followed by 051 ghr as infusion alternatively the initial dose may be repeated after 1 hr and then 38 hrly as needed
",drowsiness dizziness visual disturbances nausea htn tachycardia headache hyperventilation muscle weakness impaired renal function elevated liver enzymes transient increase in creatine phosphokinase transient neuromuscular blockade mild to moderate pain at inj site,manifestations of overdosage observed in normal subjects only dizziness blurred vision diplopia headache impaired accommodation nausea slight tachycardia in therapy it has been difficult to differentiate side effects due to the drug from those due to the effects of the poison,store between 2025 c,['organophosphorous poisoning pralidoxime chloride indicated antidote treatment poisoning due pesticide chemical eg nerve agent organophosphate class anticholinesterase activity control overdosage anticholinesterase drug used treatment myasthenia gravis read morepralidoxime chloride indicated antidote treatment poisoning due pesticide chemical eg nerve agent organophosphate class anticholinesterase activity control overdosage anticholinesterase drug used treatment myasthenia gravis principal indication use pralidoxime chloride muscle weakness respiratory depression severe poisoning respiratory depression may due muscle weakness']
907,Povidone Iodine,povidone-iodine-907,not available,Iodine compounds (Anti-septic Preparations),Secondarily infected dermatoses,"cream or ointmenttherapeutically as an adjunct to systemic therapy in the following indications

primary or secondary topical infections
infected surgical incisions
infected decubitus or stasis ulcers
pyodermas
secondarily infected dermatoses  read morecream or ointmenttherapeutically as an adjunct to systemic therapy in the following indications

primary or secondary topical infections
infected surgical incisions
infected decubitus or stasis ulcers
pyodermas
secondarily infected dermatoses
infected traumatic lesions

prophylactically

to prevent microbial contaminations in burns incisions and other topical lesions
for degerming skin in hyperalimentation the umbilical area or circumcision
its use for abrasions minor cuts and wounds prevents the development of infections and permits wound healing

solution

for the prevention and treatment of surface infections as well as to degerm the skin mucous membrane and hyperalimentation procedures
for seborrhea
for preoperative and postoperative scrubbing and washing of hospital operating room and equipments
for preoperative prepping of operative site including the vagina
for disinfection of wounds burns lacerations and abrasions
as a prophylactic antiinfective agent in house hospital  office procedures
postoperative application to incisions to help prevent infection
in oral moniliasis thrush bacterial and mycotic skin infections decubitus  stasis ulcers
as a preoperative swab in the mouth  throat

gargle  mouthwash it is a pleasantly flavoured solution which is used

for the treatment of acute mucosal infections of the mouth and pharynx
for oral hygiene prior to during and after dental and oral surgery

surgical scrub it is a golden surfactant solution forms rich golden lather which is used as an antiseptic skin cleanser for preoperative and postoperative scrubbing and washing by surgeons and operation theatre staff and preoperative preparation of patients skinpowder it is used for topical application in the following indications superficial wounds minor cuts burns abrasions lacerations in the treatment and prevention of infectionsophthalmic solution povidone is used for the symptomatic treatment of dry eye conditions including keratoconjunctivitis sicca it is also given as a substitute for tear fluid in case of the unstable tear film or insufficient moistening of the eye surface","cream or ointment 

for the treatment of infection apply once or twice daily or at dressing changes for a maximum of 14 days
for the prevention of infection apply once or twice a week for as long as necessary the affected skin should be cleaned and dried and can be covered with a dressing or bandage

solution apply full strength as often as needed as paint spray or wet soak maybe bandaged where necessarygargle  mouthwash adults and children over 6 years of age use undiluted or diluted with an equal volume of warm water gargle or rinse with up to 10 ml for up to 30 seconds without swallowing repeat up to four times daily for up to 14 consecutive days or as advised by the registered dental surgeonphysiciansurgical scrub

for preoperative and postoperative washing by operating personnel wet hands and forearms with water pour about 5 ml of povidone iodine surgical scrub on the palm of the hand and spread over both hands and forearms without adding more water rub the scrub thoroughly over all areas for about five minutes use a brush if desired clean thoroughly under fingernails add a little water and develop copious suds rinse thoroughly under running water complete the wash by scrubbing with another 5 ml of povidone iodine surgical scrub in the same way
for preoperative use on patients after the skin area is shaved wet it with water apply povidone iodine surgical scrub 1 ml is sufficient to cover an area of 2030 square inches develop lather and scrub thoroughly for about five minutes rinse off by aid of sterile gauze saturated with water
for use in the physicians office use for washing whenever a germicidal soap is required

powder apply a light dusting of powder to the affected area when dry this forms a protective antiseptic layer over the area treated or use as advised by the registered physician there are no special dosage recommendations for children or elderly patientsophthalmic solution 1 drop 4 times daily or as required depending upon the severity of the disease to be instilled into the conjunctival sac",povidone iodine may cause hypersensitivity reactions and irritation of the skin and mucous membranes the application of povidone iodine to severe burns or to large areas otherwise denuded of skin may produce systemic adverse effects such as metabolic acidosis hypernatraemia and impairment of renal function it may interfere with thyroid function tests,not available,store below 25c do not freeze store in a cool and dry place protected from light keep out of the reach of children do not touch the ophthalmic solution dropper tip to any surface as this may contaminate this preparation do not use it after one month of the first opening,['secondarily infected dermatosis cream ointmenttherapeutically adjunct systemic therapy following indication primary secondary topical infection infected surgical incision infected decubitus stasis ulcer pyodermas secondarily infected dermatosis read morecream ointmenttherapeutically adjunct systemic therapy following indication primary secondary topical infection infected surgical incision infected decubitus stasis ulcer pyodermas secondarily infected dermatosis infected traumatic lesion prophylactically prevent microbial contamination burn incision topical lesion degerming skin hyperalimentation umbilical area circumcision use abrasion minor cut wound prevents development infection permit wound healing solution prevention treatment surface infection well degerm skin mucous membrane hyperalimentation procedure seborrhea preoperative postoperative scrubbing washing hospital operating room equipment preoperative prepping operative site including vagina disinfection wound burn laceration abrasion prophylactic antiinfective agent house hospital office procedure postoperative application incision help prevent infection oral moniliasis thrush bacterial mycotic skin infection decubitus stasis ulcer preoperative swab mouth throat gargle mouthwash pleasantly flavoured solution used treatment acute mucosal infection mouth pharynx oral hygiene prior dental oral surgery surgical scrub golden surfactant solution form rich golden lather used antiseptic skin cleanser preoperative postoperative scrubbing washing surgeon operation theatre staff preoperative preparation patient skinpowder used topical application following indication superficial wound minor cut burn abrasion laceration treatment prevention infectionsophthalmic solution povidone used symptomatic treatment dry eye condition including keratoconjunctivitis sicca also given substitute tear fluid case unstable tear film insufficient moistening eye surface']
270,Potassium Citrate + Citric Acid,potassium-citrate-citric-acid-270,not available,Prevention of repeated kidney stone formation,Urine alkalinisation,"this preparation is indicated in the following cases

to relieve discomfort in urinary tract infections
to prevent kidney stone
with uricosuric agent to prevent gout
acidosis caused by kidney diseases
","to relieve discomfort in uti

adults and children over 6 years 10 ml 3 times daily diluted with 1 glass of water
children 16 years 5 ml 3 times daily diluted with  glass of water

to prevent kidney stones with a uricosuric agent to prevent gout acidosis caused by kidney diseases

adults 1015 ml 4 times daily or as directed by the physician diluted with 1 glass of water
pediatric 510 ml 4 times daily or as directed by the physician diluted with  glass of water
",this solution is generally well tolerated without any unpleasant side effect when given in recommended doses to patients with normal renal function and urinary output however as with any alkalinizing agent caution must be used in certain patients with abnormal renal mechanisms to avoid development of hyperkalemia or alkalosis potassium intoxication causes listlessness weakness mental confusion tingling of extremities and other symptoms associated with a high concentration of potassium in the serum,the administration of oral potassium salts to persons with normal excretory mechanisms for potassium rarely causes serious hyperkalemia however if excretory mechanisms are impaired hyperkalemia can result hyperkalemia when detected must be treated immediately because lethal levels can be reached in a few hours if hyperkalemia occurs treatment measures will include the followings 1 elimination of foods or medications containing potassium 2 the intravenous administration of 300 to 500 mlhr of dextrose solution 10 to 25 containing 10 units of insulin20 gm dextrose 3 the use of exchange resins hemodialysis or peritoneal dialysis,keep below 30c temperature away from light  moisture keep out of the reach of children,['urine alkalinisation preparation indicated following case relieve discomfort urinary tract infection prevent kidney stone uricosuric agent prevent gout acidosis caused kidney disease']
916,Potassium Citrate,potassium-citrate-916,https://medex.com.bd/attachments/VaV1VTqmf0dOFBuHd5wnP7HJjOyss1/potassium-citrate-prescribing-information,Prevention of repeated kidney stone formation,Urinary tract infection,renal tubular acidosis rta with calcium stones potassium citrate is indicated for the management of renal tubular acidosishypocitraturic calcium oxalate nephrolithiasis of any etiology potassium citrate is indicated for the management of hypocitraturic  read morerenal tubular acidosis rta with calcium stones potassium citrate is indicated for the management of renal tubular acidosishypocitraturic calcium oxalate nephrolithiasis of any etiology potassium citrate is indicated for the management of hypocitraturic calcium oxalate nephrolithiasisuric acid lithiasis with or without calcium stones potassium citrate is indicated for the management of uric acid lithiasis with or without calcium stones,dosing instructions treatment with extended release potassium citrate should be added to a regimen that limits salt intake avoidance of foods with high salt content and of added salt at the table and encourages high fluid intake urine volume should be at least two liters per day the objective of treatment with potassium citrate is to provide potassium citrate in sufficient dosage to restore normal urinary citrate greater than 320 mgday and as close to the normal mean of 640 mgday as possible and to increase urinary ph to a level of 60 or 70monitor serum electrolytes sodium potassium chloride and carbon dioxide serum creatinine and complete blood counts every four months and more frequently in patients with cardiac disease renal disease or acidosis perform electrocardiograms periodically treatment should be discontinued if there is hyperkalemia a significant rise in serum creatinine or a significant fall in blood hemocrit or hemoglobinsevere hypocitraturia in patients with severe hypocitraturia urinary citrate 150 mgday therapy should be initiated at a dosage of 60 meqday 30 meq two timesday or 20 meq three timesday with meals or within 30 minutes after meals or bedtime snack twentyfour hour urinary citrate andor urinary ph measurements should be used to determine the adequacy of the initial dosage and to evaluate the effectiveness of any dosage change in addition urinary citrate andor ph should be measured every four months doses of potassium citrate greater than 100 meqday have not been studied and should be avoidedmild to moderate hypocitraturia in patients with mild to moderate hypocitraturia urinary citrate  150 mgday therapy should be initiated at 30 meqday 15 meq two timesday or 10 meq three timesday within 30 minutes after meals or bedtime snack twentyfour hour urinary citrate andor urinary ph measurements should be used to determine the adequacy of the initial dosage and to evaluate the effectiveness of any dosage change doses of potassium citrate greater than 100 meqday have not been studied and should be avoided,nausea vomiting diarrhea and stomach pain may occur taking it after meals will help prevent these side effects an empty tablet shell may appear in your stool this is harmless because your body has already absorbed the medicationthis drug may cause serious stomach or intestinal problems eg bleeding blockage puncture this medication may cause high potassium levels in the blood hyperkalemia a very serious allergic reaction to this drug is rare,"treatment of overdosage the administration of potassium salts to persons without predisposing conditions for hyperkalemia rarely causes serious hyperkalemia at recommended dosages it is important to recognize that hyperkalemia is usually asymptomatic and may be manifested only by an increased serum potassium concentration and characteristic electrocardiographic changes peaking of twave loss of pwave depression of st segment and prolongation of the qt interval late manifestations include muscle paralysis and cardiovascular collapse from cardiac arresttreatment measures for hyperkalemia include the following

patients should be closely monitored for arrhythmias and electrolyte changes
elimination of medications containing potassium and of agents with potassiumsparing properties such as potassiumsparing diuretics arbs ace inhibitors nsaids certain nutritional supplements and many others
elimination of foods containing high levels of potassium such as almonds apricots bananas beans lima pinto white cantaloupe carrot juice canned figs grapefruit juice halibut milk oat bran potato with skin salmon spinach tuna and many others
intravenous calcium gluconate if the patient is at no risk or low risk of developing digitalis toxicity
intravenous administration of 300500 mlhr of 10 dextrose solution containing 1020 units of crystalline insulin per 1000 ml
correction of acidosis if present with intravenous sodium bicarbonate
hemodialysis or peritoneal dialysis
exchange resins may be used however this measure alone is not sufficient for the acute treatment of hyperkalemia

lowering potassium levels too rapidly in patients taking digitalis can produce digitalis toxicity",not available,['urinary tract infection renal tubular acidosis rta calcium stone potassium citrate indicated management renal tubular acidosishypocitraturic calcium oxalate nephrolithiasis etiology potassium citrate indicated management hypocitraturic read morerenal tubular acidosis rta calcium stone potassium citrate indicated management renal tubular acidosishypocitraturic calcium oxalate nephrolithiasis etiology potassium citrate indicated management hypocitraturic calcium oxalate nephrolithiasisuric acid lithiasis without calcium stone potassium citrate indicated management uric acid lithiasis without calcium stone']
904,Potassium Chloride,potassium-chloride-904,https://medex.com.bd/attachments/jeDHO7u0l6drAYTVl5Bu87OCbJeMMq/potassium-chloride-tablet-prescribing-information,Electrolytes preparations,Ulcerative colitis,"potassium chloride is indicated in

replacement of potassium deficit
diuretic potassium losinginduced hypokalaemia
hypokalaemia from renal potassium wasting
hypokalaemia from gastrointestinal losses
hypochloraemic alkalosis associated with hypokalaemia
",oral dose it should be taken with or after meals with plenty of fluid waterfruit juice typical doses for the prevention of hypokalaemia may be upto 50 mmol about 375 ml daily by mouth oral treatment may be suitable in some cases of hypokalaemia and similar doses to those used for prevention may be adequate in mild potassium deficiency however higher doses may be needed in more severe deficiencyparenteral dose intravenous administration may be required in acute hypokalaemia one ampoule 10 ml ie 15 gm 20 mmol k may be added to 500 ml of sodium chloride or glucose intravenous infusion and given slowly over 2 to 3 hours with specialist advice and ecg monitoring in difficult cases repeated measurements of potassium are necessary to determine whether further infusions are required and to avoid the development of hyperkalaemia this is especially liable to occur in renal impairment,excessive administration of potassium leads to development of hyperkalaemia the symptoms of which include paraesthesia of the extremitis muscle weakness paralysis hypotension cardiac arrhythmias heart block and cardiac arrest pain or phlebitis may occur during iv administration of solutions containing about 30 mmol or more potassium per litre nausea vomiting diarrhoea and abdominal cramps may occur following oral administration,not available,store below 25c in a dry place away from light keep out of the reach of children,['ulcerative colitis potassium chloride indicated replacement potassium deficit diuretic potassium losinginduced hypokalaemia hypokalaemia renal potassium wasting hypokalaemia gastrointestinal loss hypochloraemic alkalosis associated hypokalaemia']
1862,Posaconazole,posaconazole-1862,https://medex.com.bd/attachments/9DRCK8Lj2Cek0IvzvSge4FQIX1smrE/posaconazole-prescribing-information,Aural Anti-fungal preparations,Invasive aspergillosis,"posaconazole is indicated in patients aged 13 years and above for the treatment of the following fungal infections

invasive aspergillosis in patients with disease that is refractory or intolerant to amphotericin b or itraconazole
fusariosis in patients with disease that is refractory or intolerant to amphotericin b  read moreposaconazole is indicated in patients aged 13 years and above for the treatment of the following fungal infections

invasive aspergillosis in patients with disease that is refractory or intolerant to amphotericin b or itraconazole
fusariosis in patients with disease that is refractory or intolerant to amphotericin b
chromoblastomycosis and mycetoma in patients with disease that is refractory or intolerant to itraconazole
coccidioidomycosis in patients with disease that is refractory or intolerant to amphotericin b itraconazole or fluconazole or in patients who are intolerant of these medicinal products

also indicated for prophylaxis of invasive fungal infections in the following patients

patients receiving remissioninduction chemotherapy for acute myelogenous leukemia aml or myelodysplastic syndromes mds expected to result in prolonged neutropenia and who are at high risk of developing invasive fungal infections
hematopoietic stem cell transplant hsct recipients who are undergoing highdose immunosuppressive therapy for graft versus host disease and who are at high risk of developing invasive fungal infections refractoriness is defined as progression of infection or failure to improve after a minimum of 7 days of prior therapeutic doses of effective antifungal therapy
",posaconazole tablets can be taken with or without food the tablets should be swallowed whole with water and should not be crushed chewed or brokenloading dose 300 mg 3 tablets twice a day on the first daymaintenance dose 300 mg 3 tablets once a day from the second dayduration of therapy should be based on the severity of the underlying disease recovery from immunosuppression and clinical response,common treatmentemergent adverse reactions in studies with posaconazole are diarrhea nausea fever vomiting headache coughing and hypokalemia,not available,store below 25c keep out of the reach of children,['invasive aspergillosis posaconazole indicated patient aged 13 year treatment following fungal infection invasive aspergillosis patient disease refractory intolerant amphotericin b itraconazole fusariosis patient disease refractory intolerant amphotericin b read moreposaconazole indicated patient aged 13 year treatment following fungal infection invasive aspergillosis patient disease refractory intolerant amphotericin b itraconazole fusariosis patient disease refractory intolerant amphotericin b chromoblastomycosis mycetoma patient disease refractory intolerant itraconazole coccidioidomycosis patient disease refractory intolerant amphotericin b itraconazole fluconazole patient intolerant medicinal product also indicated prophylaxis invasive fungal infection following patient patient receiving remissioninduction chemotherapy acute myelogenous leukemia aml myelodysplastic syndrome md expected result prolonged neutropenia high risk developing invasive fungal infection hematopoietic stem cell transplant hsct recipient undergoing highdose immunosuppressive therapy graft versus host disease high risk developing invasive fungal infection refractoriness defined progression infection failure improve minimum 7 day prior therapeutic dos effective antifungal therapy']
1485,Ponatinib Hydrochloride,ponatinib-hydrochloride-1485,https://medex.com.bd/attachments/uEQKhNDvZLhAo9N5bg0plQKBBc2UH9/ponatinib-hydrochloride-prescribing-information,Tyrosine Kinase Inhibitor,Lymphocytic leukemia,"ponatinib is a kinase inhibitor indicated for the

treatment of adult patients with chronic phase accelerated phase or blast phase chronic myeloid leukemia cml or ph all for whom no other tyrosine kinase inhibitor tki therapy is indicated
treatment of adult patients with t315ipositive cml chronic phase accelerated phase or blast phase or t315ipositive philadelphia chromosome positive acute lymphoblastic leukemia ph all
",recommended dose 45 mg taken orally once daily with or without foodhepatic impairment 30 mg orally once daily modify or interrupt dosing for hematologic and nonhematologic toxicity,the most common nonhematologic adverse reactions 20 were abdominal pain rash constipation headache dry skin arterial occlusion fatigue hypertension pyrexia arthralgia nausea diarrhea lipase increased vomiting myalgia and pain in extremity,not available,store ponatinib at room temperature between 20 c to 25 c,['lymphocytic leukemia ponatinib kinase inhibitor indicated treatment adult patient chronic phase accelerated phase blast phase chronic myeloid leukemia cml ph tyrosine kinase inhibitor tki therapy indicated treatment adult patient t315ipositive cml chronic phase accelerated phase blast phase t315ipositive philadelphia chromosome positive acute lymphoblastic leukemia ph']
